city,timestamp,temperature,season
New York,2010-01-01,2.8977965408700896,winter
New York,2010-01-02,-5.2338207745400736,winter
New York,2010-01-03,-7.999771026216007,winter
New York,2010-01-04,0.837045096425722,winter
New York,2010-01-05,2.3385000508601532,winter
New York,2010-01-06,8.312919665215242,winter
New York,2010-01-07,2.2962477259527048,winter
New York,2010-01-08,-2.1698382476806604,winter
New York,2010-01-09,-4.711176562880332,winter
New York,2010-01-10,3.5908731049338,winter
New York,2010-01-11,-4.164712643340758,winter
New York,2010-01-12,-2.9001464907226673,winter
New York,2010-01-13,4.682883470911654,winter
New York,2010-01-14,5.225401488401554,winter
New York,2010-01-15,3.1718832027505477,winter
New York,2010-01-16,-0.8288076276105196,winter
New York,2010-01-17,-10.583607018868243,winter
New York,2010-01-18,-0.5671480792456163,winter
New York,2010-01-19,-1.668190408588264,winter
New York,2010-01-20,-1.4445071657282706,winter
New York,2010-01-21,-3.0609300727773054,winter
New York,2010-01-22,-10.688324745742001,winter
New York,2010-01-23,-2.6317074590621847,winter
New York,2010-01-24,-7.88346188472681,winter
New York,2010-01-25,-3.905966214054932,winter
New York,2010-01-26,2.0016806497287303,winter
New York,2010-01-27,-0.9352204511576968,winter
New York,2010-01-28,-0.24583125334393902,winter
New York,2010-01-29,-2.231708992536306,winter
New York,2010-01-30,-4.452158958499142,winter
New York,2010-01-31,2.2621595728415986,winter
New York,2010-02-01,-6.359816767849696,winter
New York,2010-02-02,-9.425839021052983,winter
New York,2010-02-03,1.5801400456056331,winter
New York,2010-02-04,-2.320500870836494,winter
New York,2010-02-05,-3.0403980006395077,winter
New York,2010-02-06,-1.2609387774884517,winter
New York,2010-02-07,-0.9549971338795784,winter
New York,2010-02-08,1.4334400838666752,winter
New York,2010-02-09,8.543213091346407,winter
New York,2010-02-10,0.4768482451060062,winter
New York,2010-02-11,4.276804115190699,winter
New York,2010-02-12,5.726689595547009,winter
New York,2010-02-13,2.0214035352172828,winter
New York,2010-02-14,8.197467074940203,winter
New York,2010-02-15,-6.828000752695598,winter
New York,2010-02-16,4.503761683720835,winter
New York,2010-02-17,1.034080042228207,winter
New York,2010-02-18,1.041166836904839,winter
New York,2010-02-19,-1.6499138974064778,winter
New York,2010-02-20,-1.9011674975293904,winter
New York,2010-02-21,-0.38428854681519775,winter
New York,2010-02-22,-1.799991376759173,winter
New York,2010-02-23,-1.8538721665018043,winter
New York,2010-02-24,1.9307060568418857,winter
New York,2010-02-25,-0.6853864502266751,winter
New York,2010-02-26,-0.35133930498053384,winter
New York,2010-02-27,4.433790464036818,winter
New York,2010-02-28,2.1719557138525185,winter
New York,2010-03-01,12.69630176244048,spring
New York,2010-03-02,4.404233288776391,spring
New York,2010-03-03,0.8403212009645267,spring
New York,2010-03-04,12.807369411036444,spring
New York,2010-03-05,18.241393999497323,spring
New York,2010-03-06,19.70239252163956,spring
New York,2010-03-07,1.7983785510136985,spring
New York,2010-03-08,7.494991967664094,spring
New York,2010-03-09,14.823122940835088,spring
New York,2010-03-10,18.94081282309435,spring
New York,2010-03-11,10.107616128046404,spring
New York,2010-03-12,6.432315903224832,spring
New York,2010-03-13,0.8979712199582379,spring
New York,2010-03-14,3.795176290123231,spring
New York,2010-03-15,2.11879685049687,spring
New York,2010-03-16,7.813487061130759,spring
New York,2010-03-17,16.821275085338584,spring
New York,2010-03-18,4.310621768947124,spring
New York,2010-03-19,10.725023013332654,spring
New York,2010-03-20,7.8900433470923,spring
New York,2010-03-21,7.142614230646784,spring
New York,2010-03-22,7.38042797582659,spring
New York,2010-03-23,13.414867244244068,spring
New York,2010-03-24,16.24736162153163,spring
New York,2010-03-25,5.435017779399574,spring
New York,2010-03-26,12.919026342583711,spring
New York,2010-03-27,-3.243872039878297,spring
New York,2010-03-28,10.379669078548735,spring
New York,2010-03-29,13.27880107268807,spring
New York,2010-03-30,18.295147556670393,spring
New York,2010-03-31,14.984087310311946,spring
New York,2010-04-01,16.17581955513631,spring
New York,2010-04-02,9.566955175332826,spring
New York,2010-04-03,10.131901478175463,spring
New York,2010-04-04,3.710713054637508,spring
New York,2010-04-05,7.632863223138558,spring
New York,2010-04-06,6.010157663979102,spring
New York,2010-04-07,10.494963548098674,spring
New York,2010-04-08,10.787645415155183,spring
New York,2010-04-09,5.884796055724998,spring
New York,2010-04-10,1.6432525500980544,spring
New York,2010-04-11,14.50357451774386,spring
New York,2010-04-12,17.60264283425345,spring
New York,2010-04-13,12.154672824696913,spring
New York,2010-04-14,12.092190394700873,spring
New York,2010-04-15,12.351573577573712,spring
New York,2010-04-16,12.318296217338423,spring
New York,2010-04-17,18.11391490624357,spring
New York,2010-04-18,4.793803625275927,spring
New York,2010-04-19,7.589593680723692,spring
New York,2010-04-20,7.3580097564895715,spring
New York,2010-04-21,7.813298359616265,spring
New York,2010-04-22,9.993256829962156,spring
New York,2010-04-23,7.744142666368305,spring
New York,2010-04-24,2.893792076262539,spring
New York,2010-04-25,-0.4165657771241382,spring
New York,2010-04-26,6.74647775704324,spring
New York,2010-04-27,2.167060162190466,spring
New York,2010-04-28,18.57219174808779,spring
New York,2010-04-29,5.430110454518051,spring
New York,2010-04-30,8.243416902829159,spring
New York,2010-05-01,5.62312696748989,spring
New York,2010-05-02,12.320585152185519,spring
New York,2010-05-03,6.070917714629786,spring
New York,2010-05-04,5.949470200743438,spring
New York,2010-05-05,5.846103196477255,spring
New York,2010-05-06,16.797985023587483,spring
New York,2010-05-07,11.800430166066214,spring
New York,2010-05-08,11.279124500570694,spring
New York,2010-05-09,10.432250199420691,spring
New York,2010-05-10,13.617484690045874,spring
New York,2010-05-11,10.938661736573515,spring
New York,2010-05-12,7.108444386792115,spring
New York,2010-05-13,10.138102636667783,spring
New York,2010-05-14,6.459011874303522,spring
New York,2010-05-15,13.5573702350339,spring
New York,2010-05-16,15.204054067144394,spring
